Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days),Crew Size,Mission Risk Level,Success Probability
China,,Universal executive encoding,Manned,Foxton,Communication,39.55,86.0,Nuclear Propulsion,Medium,"Germany, USA",238.0,67.0,High,0.144
India,2024.0,Intuitive discrete pricing structure,Manned,Kimville,Research,14.57,50.0,AI Navigation,Low,"India, UAE, Germany",104.0,88.0,High,0.503
UK,2019.0,Digitized client-driven hub,Manned,Mccannville,Research,29.43,93.0,Solar Propulsion,Medium,China,106.0,87.0,Low,0.639
Germany,2011.0,User-centric encompassing focus group,Manned,New Alexandrastad,Research,37.13,99.0,Traditional Rocket,Low,France,93.0,59.0,Medium,0.171
Russia,2001.0,Phased holistic throughput,Manned,Lake Jenna,Spy,31.53,52.0,Traditional Rocket,High,UAE,142.0,72.0,Low,0.86
USA,2021.0,Compatible 4thgeneration benchmark,Manned,Ochoatown,Spy,34.08,79.0,Solar Propulsion,Medium,UAE,331.0,54.0,Medium,0.532
Germany,2008.0,Streamlined multi-tasking matrix,Unmanned,Gardnerside,Communication,36.17,93.0,Solar Propulsion,High,"UK, China, UAE",101.0,67.0,Low,0.411
USA,2014.0,Public-key heuristic extranet,Manned,New Kyle,Weather,49.69,63.0,Traditional Rocket,High,"France, Germany, China",242.0,51.0,Medium,0.602
Israel,2023.0,Cross-group solution-oriented service-desk,Unmanned,South Catherineland,Spy,32.32,94.0,Reusable Rocket,Low,"Germany, India",301.0,97.0,Medium,0.635
China,2000.0,Object-based disintermediate benchmark,Unmanned,Brandonton,Communication,3.99,100.0,AI Navigation,Medium,"France, Germany",139.0,92.0,High,0.043
Israel,2012.0,Universal background knowledgebase,Unmanned,New Markton,Communication,13.88,74.0,Traditional Rocket,Medium,"India, Israel",9.0,8.0,Low,1.0
UAE,2012.0,Organic empowering contingency,Unmanned,South Jacob,Communication,47.72,72.0,AI Navigation,Low,"UK, China, Russia",183.0,34.0,High,0.364
Germany,2008.0,Managed bandwidth-monitored circuit,Manned,Sanfordstad,Spy,3.22,63.0,Nuclear Propulsion,Medium,USA,298.0,35.0,High,0.062
UK,2013.0,Realigned optimizing knowledgebase,Unmanned,Lake Ernestport,Research,23.78,54.0,Traditional Rocket,Medium,Japan,59.0,96.0,Medium,0.852
USA,2002.0,Multi-layered grid-enabled methodology,Unmanned,Salasstad,Communication,10.69,71.0,AI Navigation,Medium,"USA, India",365.0,88.0,Low,0.993
Japan,2025.0,Synergistic national matrix,Manned,Lake Erin,Research,16.5,79.0,Reusable Rocket,High,"India, UAE",304.0,78.0,Medium,0.816
UK,2009.0,Self-enabling object-oriented synergy,Manned,Lake Laurenton,Weather,36.87,73.0,Nuclear Propulsion,Medium,"UK, Germany, France",139.0,32.0,Medium,0.852
UK,2004.0,Sharable human-resource interface,Unmanned,Lake Erica,Weather,17.83,56.0,Reusable Rocket,Medium,Japan,287.0,46.0,Medium,0.626
India,2007.0,Compatible 6thgeneration implementation,Unmanned,Matthewshire,Research,42.97,75.0,Solar Propulsion,Medium,"Germany, UAE",221.0,16.0,Low,0.922
Japan,2010.0,Intuitive homogeneous project,Manned,West Rachelview,Navigation,25.11,68.0,Traditional Rocket,High,China,21.0,68.0,Low,0.036
France,2019.0,Cloned client-server focus group,Manned,Debbieland,Research,11.72,98.0,Traditional Rocket,Low,"UAE, Israel",110.0,37.0,Medium,0.767
India,2020.0,Team-oriented asymmetric contingency,Manned,North Michaelville,Weather,27.77,71.0,Reusable Rocket,High,India,140.0,54.0,Low,0.671
Japan,2021.0,Mandatory user-facing definition,Unmanned,New Rachel,Research,36.98,98.0,Reusable Rocket,Low,"Japan, UK, UAE",172.0,85.0,Medium,0.05
China,2000.0,Horizontal motivating superstructure,Manned,Cowanfort,Research,49.91,65.0,Traditional Rocket,Low,"UK, Israel, China",192.0,14.0,Low,0.544
China,2016.0,Front-line static installation,Unmanned,Wheelerchester,Spy,19.86,82.0,Reusable Rocket,Medium,"UAE, Russia",339.0,95.0,Low,0.515
USA,2019.0,Distributed mobile help-desk,Unmanned,New Garymouth,Research,29.84,85.0,Solar Propulsion,Low,USA,,55.0,High,0.692
Japan,2023.0,Automated fault-tolerant core,Unmanned,Davidshire,Research,34.31,55.0,Reusable Rocket,Medium,USA,306.0,48.0,Medium,0.078
Russia,2021.0,Persevering real-time strategy,Manned,Lake Kevin,Spy,2.74,79.0,Nuclear Propulsion,Medium,"USA, Japan",81.0,82.0,High,0.805
Israel,2024.0,User-friendly multi-tasking concept,Manned,Fergusonfort,Navigation,40.42,71.0,Traditional Rocket,Low,"France, Russia, UAE",346.0,7.0,High,0.139
France,2013.0,Balanced multimedia challenge,Unmanned,Lake Meghan,Spy,44.01,92.0,AI Navigation,Medium,France,353.0,74.0,Medium,0.419
China,2014.0,Seamless heuristic throughput,Unmanned,Port Amber,Communication,46.7,52.0,AI Navigation,High,"Germany, Russia",287.0,7.0,Medium,0.881
UAE,2015.0,Front-line national focus group,Manned,Robertport,Spy,43.24,77.0,Traditional Rocket,Low,USA,344.0,33.0,Low,0.561
Russia,2022.0,Re-engineered reciprocal capability,Unmanned,East Mark,Communication,9.21,67.0,Reusable Rocket,Low,UAE,247.0,23.0,Medium,0.38
China,2001.0,Universal fresh-thinking groupware,Manned,Ballardport,Communication,20.88,70.0,Solar Propulsion,Medium,"Germany, India",313.0,85.0,,0.048
UAE,2010.0,Focused modular utilization,Unmanned,New Richard,Navigation,22.39,91.0,Reusable Rocket,Medium,Israel,196.0,19.0,High,0.672
UAE,2009.0,Cross-platform local capacity,Manned,Christianburgh,Research,15.34,69.0,Solar Propulsion,High,"China, India",234.0,19.0,Medium,0.987
UK,2024.0,Balanced impactful workforce,Unmanned,West Shawn,Research,38.55,89.0,Nuclear Propulsion,Medium,UK,236.0,36.0,High,0.912
Germany,2010.0,Robust foreground focus group,Manned,Barbarafurt,Weather,35.48,74.0,AI Navigation,Low,"UK, Israel, Russia",148.0,29.0,Low,0.717
Japan,2008.0,Horizontal composite Internet solution,Unmanned,Michelleton,Communication,23.43,52.0,AI Navigation,High,"Germany, India",192.0,60.0,High,0.105
UK,2024.0,Operative intermediate service-desk,Manned,North Nicholasmouth,Navigation,31.15,56.0,AI Navigation,Medium,Russia,349.0,82.0,Low,0.239
Germany,2013.0,Public-key systematic access,Unmanned,Pittmanmouth,Communication,10.56,63.0,Solar Propulsion,Medium,"France, Japan",293.0,2.0,High,0.187
UK,2025.0,Monitored impactful architecture,Unmanned,Buchananfort,Communication,7.59,98.0,Reusable Rocket,High,Israel,265.0,1.0,Low,0.355
India,2007.0,Organic high-level hardware,Unmanned,Allisonburgh,Communication,41.97,78.0,AI Navigation,Low,Germany,121.0,47.0,Low,0.236
China,2014.0,Re-contextualized explicit emulation,Manned,Matthewburgh,Spy,7.91,68.0,Reusable Rocket,High,"UAE, China",172.0,69.0,Medium,0.244
UK,2014.0,Synchronized optimal website,Manned,Kirbyside,Research,49.48,84.0,Reusable Rocket,Low,"UK, France, USA",1.0,20.0,Low,0.617
France,2002.0,Vision-oriented executive focus group,Manned,Johnstad,Spy,30.36,63.0,AI Navigation,Low,"Germany, Israel",27.0,11.0,Medium,0.319
Japan,2020.0,Monitored client-server hardware,Unmanned,Joshuaside,Navigation,30.59,96.0,AI Navigation,Low,Germany,21.0,2.0,High,0.677
UK,2012.0,Automated didactic alliance,Manned,West Lauraside,Spy,32.36,52.0,Reusable Rocket,Medium,"China, India",171.0,67.0,High,0.948
USA,2008.0,Realigned dynamic toolset,Unmanned,Ericfort,Spy,21.82,51.0,AI Navigation,High,"Russia, USA, Israel",337.0,87.0,High,0.638
Japan,2002.0,Mandatory needs-based leverage,Unmanned,West Victoria,Research,43.48,57.0,Nuclear Propulsion,Low,China,184.0,12.0,Low,0.752
Israel,2006.0,Decentralized methodical standardization,Unmanned,Port Timothy,Research,10.63,97.0,Solar Propulsion,Medium,"UK, Germany, Japan",363.0,20.0,High,0.752
Germany,2023.0,Multi-lateral 5thgeneration system engine,Manned,New Brendaport,Navigation,23.24,100.0,AI Navigation,Low,"India, Russia",62.0,5.0,High,0.331
USA,2022.0,Profound 4thgeneration moratorium,Unmanned,Thomasmouth,Navigation,47.53,71.0,Solar Propulsion,High,"Germany, France",345.0,37.0,Medium,0.015
USA,2024.0,Balanced system-worthy knowledgebase,Manned,Larryport,Research,31.48,60.0,Traditional Rocket,Medium,"USA, Germany",141.0,38.0,Medium,0.055
Israel,2010.0,Mandatory object-oriented synergy,Manned,Tranton,Communication,41.4,95.0,Solar Propulsion,Low,"Germany, UAE",224.0,94.0,High,0.282
India,2014.0,Profound transitional Local Area Network,Unmanned,Steventown,Weather,38.95,70.0,Solar Propulsion,High,"Israel, USA",305.0,9.0,High,0.69
France,2022.0,Profit-focused fault-tolerant focus group,Manned,South Daniel,Navigation,36.15,82.0,Nuclear Propulsion,Medium,"Germany, UAE",243.0,98.0,Low,0.907
USA,2022.0,Secured 5thgeneration open system,Manned,Palmerburgh,Communication,5.84,81.0,Nuclear Propulsion,Low,Germany,160.0,53.0,Low,0.959
Russia,2001.0,Grass-roots asynchronous middleware,Unmanned,Port Cory,Spy,43.9,52.0,Reusable Rocket,High,UK,100.0,44.0,High,0.026
Russia,2017.0,Synergistic object-oriented synergy,Manned,Hartchester,Communication,47.75,57.0,Traditional Rocket,High,"UAE, Russia",305.0,99.0,Medium,0.99
Israel,2012.0,Customizable interactive orchestration,Unmanned,Keithfort,Communication,38.52,59.0,AI Navigation,Medium,"India, UK, USA",343.0,86.0,High,0.322
Israel,2017.0,Balanced coherent superstructure,Unmanned,Lisahaven,Weather,21.19,61.0,AI Navigation,High,"Russia, UAE",41.0,24.0,Low,0.843
UAE,2018.0,Implemented zero tolerance function,Manned,Owensmouth,Communication,18.62,52.0,Nuclear Propulsion,Low,"UK, India",79.0,81.0,Medium,0.18
UK,2003.0,Implemented actuating info-mediaries,Manned,Mossfort,Research,11.82,76.0,Solar Propulsion,High,,148.0,74.0,Medium,0.063
Russia,2012.0,Open-source national workforce,Unmanned,Garciafurt,Spy,45.5,85.0,Reusable Rocket,High,"Israel, Russia",340.0,30.0,Low,0.378
Israel,2002.0,Persevering mobile hub,Unmanned,South Andrew,Navigation,24.05,94.0,Nuclear Propulsion,Low,"France, UAE, Russia",136.0,59.0,High,0.859
China,2002.0,Customer-focused analyzing time-frame,Unmanned,Port Damonfort,Research,19.65,72.0,AI Navigation,Medium,"India, UAE",22.0,87.0,High,0.221
Japan,2022.0,De-engineered mission-critical time-frame,Manned,Dunnfort,Spy,48.25,68.0,Nuclear Propulsion,Medium,USA,15.0,96.0,High,0.154
Japan,2002.0,Proactive empowering definition,Unmanned,Timview,Research,37.06,65.0,Nuclear Propulsion,High,Russia,252.0,81.0,Low,0.91
Russia,2010.0,Managed exuding benchmark,Manned,Port Tiffany,Research,26.89,61.0,Solar Propulsion,Medium,"France, Russia, Israel",128.0,81.0,Medium,0.938
USA,2023.0,Inverse radical forecast,Unmanned,Jamesbury,Spy,19.97,59.0,AI Navigation,High,India,273.0,14.0,Low,0.013
China,2024.0,Reduced modular focus group,Unmanned,Robbinshaven,Navigation,26.66,94.0,Traditional Rocket,High,"Japan, China",70.0,9.0,High,0.727
India,2000.0,Enterprise-wide maximized paradigm,Unmanned,Mcphersonmouth,Weather,37.05,89.0,AI Navigation,Medium,France,174.0,40.0,Low,0.309
Russia,2009.0,Business-focused multimedia access,Unmanned,Jenniferstad,Communication,4.15,75.0,AI Navigation,Low,USA,96.0,66.0,Medium,0.375
India,2000.0,Automated mission-critical Graphical User Interface,Unmanned,New Leslie,Research,31.13,85.0,AI Navigation,High,"UAE, Germany",126.0,25.0,Low,0.469
Germany,2004.0,Virtual coherent Graphic Interface,Manned,Pereztown,Communication,40.33,54.0,Traditional Rocket,Low,"India, China, UK",112.0,73.0,High,0.427
Russia,2000.0,Face-to-face clear-thinking functionalities,Manned,Parksport,Research,48.14,93.0,Reusable Rocket,High,"China, Russia",78.0,22.0,Medium,0.515
Japan,2019.0,Sharable stable approach,Manned,South Carolfort,Spy,16.17,94.0,AI Navigation,High,UK,43.0,4.0,Low,0.582
UAE,2025.0,Sharable impactful model,Manned,Lake Andrew,Research,38.56,51.0,AI Navigation,High,Russia,357.0,26.0,Low,0.466
France,2006.0,User-centric object-oriented capability,Unmanned,Elizabethbury,Spy,43.09,78.0,Nuclear Propulsion,High,"Germany, UK",127.0,58.0,Medium,0.702
Israel,2012.0,Customizable interactive orchestration,Unmanned,Keithfort,Communication,38.52,59.0,AI Navigation,Medium,"India, UK, USA",343.0,29.0,Medium,0.719
Japan,2005.0,Front-line intangible monitoring,Unmanned,North Maryhaven,Weather,35.76,84.0,AI Navigation,High,Germany,316.0,98.0,High,0.44
France,2003.0,Reverse-engineered 4thgeneration application,Manned,Turnerville,Communication,39.26,92.0,Nuclear Propulsion,Low,Germany,16.0,87.0,Medium,0.142
UK,2007.0,Innovative client-server matrix,Manned,Marcusborough,Spy,42.47,53.0,Solar Propulsion,Low,USA,56.0,37.0,High,0.641
Germany,2023.0,User-centric fault-tolerant frame,Manned,Higginsland,Communication,27.76,60.0,Reusable Rocket,High,"UK, China",183.0,75.0,Low,0.773
UAE,2017.0,Operative upward-trending utilization,Manned,New Mark,Communication,6.2,76.0,Traditional Rocket,High,France,29.0,70.0,High,0.638
China,2006.0,Automated dynamic frame,Unmanned,Greenbury,Research,14.54,85.0,Solar Propulsion,High,Israel,122.0,18.0,Low,0.588
India,2013.0,Switchable scalable ability,Manned,North James,Spy,29.29,88.0,AI Navigation,High,"Japan, UAE, UK",191.0,85.0,Medium,0.229
China,2008.0,Inverse 4thgeneration portal,Unmanned,North Kellyton,Research,29.73,60.0,Solar Propulsion,Medium,"Israel, UAE",341.0,42.0,Low,0.645
India,2001.0,Cloned attitude-oriented moderator,Unmanned,Beckyview,Spy,34.72,57.0,AI Navigation,High,"France, India",359.0,100.0,Medium,0.335
UAE,2011.0,Universal composite functionalities,Unmanned,West Tara,Spy,10.59,64.0,Solar Propulsion,Low,USA,290.0,41.0,Low,0.92
France,2006.0,Devolved contextually-based architecture,Manned,Port Gregory,Spy,7.87,81.0,Nuclear Propulsion,Medium,"France, India",240.0,38.0,Low,0.654
UAE,2007.0,Streamlined empowering strategy,Unmanned,Meganside,Spy,9.14,84.0,Nuclear Propulsion,Low,Japan,173.0,34.0,Low,0.278
Japan,2007.0,Stand-alone global Local Area Network,Unmanned,Rachelhaven,Weather,3.34,61.0,Nuclear Propulsion,High,"France, China, Russia",255.0,17.0,Low,0.473
Russia,2007.0,Realigned value-added task-force,Unmanned,North Matthewtown,Research,31.49,91.0,AI Navigation,High,UAE,64.0,37.0,High,0.847
Israel,2018.0,Total value-added throughput,Manned,Yvonnefurt,Communication,28.73,68.0,Solar Propulsion,High,"France, Israel, UAE",181.0,25.0,Low,0.335
China,2017.0,Customizable optimizing policy,Unmanned,Harrishaven,Weather,1.45,89.0,Nuclear Propulsion,Low,"Germany, Japan, USA",18.0,76.0,High,0.525
Israel,2019.0,Fundamental intangible concept,Manned,West Julie,Weather,4.36,77.0,Nuclear Propulsion,High,"USA, China, UAE",268.0,87.0,Medium,0.68
China,2011.0,Triple-buffered local middleware,Unmanned,Moralesbury,Weather,24.11,80.0,Traditional Rocket,Low,"Japan, UAE",155.0,86.0,Medium,0.755
Japan,2009.0,Synergized fault-tolerant portal,Manned,Smithbury,Communication,35.58,97.0,Reusable Rocket,Medium,UAE,165.0,85.0,High,0.174
USA,2017.0,Streamlined transitional firmware,Manned,Coxbury,Research,2.07,81.0,Nuclear Propulsion,High,"Israel, UAE, USA",175.0,27.0,Medium,0.565
Japan,2006.0,Organic full-range intranet,Unmanned,West Richard,Spy,43.54,56.0,Solar Propulsion,High,China,168.0,57.0,Medium,0.912
UK,2011.0,Decentralized needs-based application,Manned,Port Cameron,Navigation,3.12,66.0,,High,Germany,311.0,31.0,,0.968
France,2014.0,Devolved secondary access,Manned,Parktown,Spy,1.49,58.0,Solar Propulsion,Low,"UK, Japan",297.0,6.0,Low,0.656
USA,2014.0,Digitized clear-thinking initiative,Manned,Lindabury,Communication,44.35,58.0,Reusable Rocket,Low,"France, USA",188.0,91.0,Low,0.984
Israel,2007.0,,Unmanned,Kimberlybury,Weather,40.83,81.0,Solar Propulsion,High,"USA, China",237.0,40.0,High,0.571
USA,2001.0,Exclusive fresh-thinking moratorium,Unmanned,Burnstown,Research,8.62,87.0,Reusable Rocket,Medium,"UK, Germany, USA",88.0,98.0,High,0.443
UAE,2022.0,Fully-configurable executive matrices,Unmanned,Janetport,Spy,6.74,67.0,Reusable Rocket,High,USA,237.0,12.0,Medium,0.552
Japan,2006.0,Innovative systematic workforce,Manned,Tylerbury,Research,36.82,70.0,Traditional Rocket,Medium,USA,178.0,53.0,Low,0.116
Germany,2022.0,Synergized clear-thinking encoding,Unmanned,Lake Kyle,Research,24.27,85.0,AI Navigation,Low,"UK, Germany, UAE",139.0,71.0,High,0.402
Israel,2011.0,Configurable well-modulated productivity,Unmanned,Port Gabriel,Navigation,37.44,71.0,Traditional Rocket,Low,UK,129.0,10.0,High,0.458
UAE,2024.0,Assimilated 24/7 solution,Unmanned,Taylorhaven,Weather,7.8,75.0,Traditional Rocket,High,"UK, India",278.0,45.0,Low,0.849
India,2013.0,Cross-platform secondary leverage,Manned,West Shanetown,Communication,38.44,91.0,Nuclear Propulsion,Low,"Japan, Germany",9.0,17.0,High,
Israel,2017.0,Multi-lateral uniform core,Unmanned,North Wayne,Weather,34.39,54.0,Nuclear Propulsion,,"France, UK, Germany",334.0,26.0,Low,0.601
UK,2014.0,Programmable reciprocal system engine,Manned,West Kimville,Communication,30.56,53.0,Traditional Rocket,High,"Germany, UAE, India",314.0,85.0,Medium,0.347
UAE,2018.0,Multi-tiered directional toolset,Unmanned,New Noah,Spy,49.64,63.0,Traditional Rocket,Low,Japan,30.0,92.0,Medium,0.187
China,2011.0,Total dynamic middleware,Unmanned,Brendashire,Weather,24.79,83.0,Solar Propulsion,High,"Russia, Japan, Germany",102.0,62.0,Medium,0.348
Japan,2004.0,Horizontal reciprocal matrix,Manned,Moniquestad,Spy,2.61,73.0,Nuclear Propulsion,Medium,China,137.0,46.0,Low,0.68
UAE,2008.0,Public-key bandwidth-monitored service-desk,Manned,Sarahville,Weather,22.62,74.0,AI Navigation,Low,"Germany, UAE",320.0,64.0,High,0.263
USA,2023.0,Public-key reciprocal moderator,Manned,Josephmouth,Research,23.43,76.0,Solar Propulsion,Low,"USA, India",21.0,2.0,Medium,0.427
Russia,2011.0,Optimized impactful circuit,Manned,Jamiebury,Communication,46.13,85.0,AI Navigation,Low,India,20.0,54.0,Medium,0.387
USA,2020.0,Polarized global product,Unmanned,Lake Vincent,Communication,43.21,55.0,Reusable Rocket,Medium,"UAE, UK, China",310.0,65.0,Medium,0.766
Russia,2020.0,Enhanced dynamic installation,Manned,Port Tiffany,Research,39.28,96.0,Solar Propulsion,Low,"Japan, USA",358.0,51.0,High,0.884
UAE,2006.0,Balanced directional productivity,Manned,New Andrea,Communication,36.35,61.0,Solar Propulsion,Low,"Israel, China",86.0,53.0,High,0.699
France,2004.0,Enhanced client-driven array,Manned,North Michelle,Navigation,30.49,76.0,Reusable Rocket,Low,Japan,297.0,36.0,Low,0.342
UAE,2009.0,Decentralized bottom-line neural-net,Manned,Matthewfort,Communication,1.9,76.0,Solar Propulsion,High,"Russia, UK",289.0,26.0,Medium,0.433
USA,2007.0,Diverse 24hour forecast,Unmanned,East Kristy,Communication,29.9,65.0,AI Navigation,Low,India,294.0,29.0,High,0.143
USA,2023.0,User-centric uniform methodology,Manned,Jameshaven,Navigation,36.33,94.0,Traditional Rocket,High,India,317.0,21.0,Low,0.168
Russia,2010.0,Managed exuding benchmark,Manned,Port Tiffany,Research,26.89,61.0,Solar Propulsion,Medium,"France, Russia, Israel",128.0,11.0,Medium,0.164
India,2013.0,Enterprise-wide multi-tasking process improvement,Manned,Jenniferview,Spy,25.88,56.0,AI Navigation,Low,"Japan, UAE, China",27.0,40.0,High,0.131
India,2008.0,Reverse-engineered static hub,Unmanned,North Michaelbury,Spy,46.33,100.0,Reusable Rocket,Low,Germany,157.0,11.0,High,0.18
Japan,2008.0,Stand-alone solution-oriented artificial intelligence,Unmanned,Lake Jamiestad,Communication,5.97,60.0,Reusable Rocket,High,France,150.0,36.0,Low,0.203
Israel,2018.0,Decentralized holistic functionalities,Unmanned,Kleintown,Weather,35.44,68.0,Nuclear Propulsion,Medium,India,101.0,59.0,Medium,0.112
USA,2018.0,Centralized reciprocal complexity,Manned,South Dianeview,Weather,16.23,82.0,Reusable Rocket,High,"India, Germany",41.0,39.0,Medium,0.64
India,2024.0,Down-sized systemic leverage,Unmanned,Lake Hannah,Communication,26.05,73.0,Nuclear Propulsion,Medium,"UK, China",307.0,99.0,High,0.99
Israel,2020.0,Enhanced upward-trending hierarchy,Unmanned,Bridgesfurt,Spy,1.71,97.0,Traditional Rocket,Medium,"France, China, UAE",218.0,54.0,Medium,0.879
